2019-01-13 17:37:56,636 INFO  [org.jboss.as.server] (Thread-2) WFLYSRV0236: Suspending server with no timeout.
2019-01-13 17:37:56,638 INFO  [org.jboss.as.ejb3] (Thread-2) WFLYEJB0493: EJB subsystem suspension complete
2019-01-13 17:37:56,644 INFO  [org.jboss.as.server] (Thread-2) WFLYSRV0220: Server shutdown has been requested via an OS signal
2019-01-13 17:37:56,655 INFO  [org.wildfly.extension.undertow] (ServerService Thread Pool -- 139) WFLYUT0022: Unregistered web context: '/web-1' from server 'default-server'
2019-01-13 17:37:56,659 INFO  [org.jboss.as.mail.extension] (MSC service thread 1-2) WFLYMAIL0002: Unbound mail session [java:jboss/mail/Default]
2019-01-13 17:37:56,688 INFO  [org.wildfly.extension.undertow] (MSC service thread 1-6) WFLYUT0019: Host default-host stopping
2019-01-13 17:37:56,726 INFO  [org.jboss.as.connector.subsystems.datasources] (MSC service thread 1-6) WFLYJCA0010: Unbound data source [java:jboss/datasources/ExampleDS]
2019-01-13 17:37:56,737 INFO  [org.jboss.as.connector.deployers.jdbc] (MSC service thread 1-8) WFLYJCA0019: Stopped Driver service with driver-name = h2
2019-01-13 17:37:56,748 INFO  [org.jboss.as.server.deployment] (MSC service thread 1-1) WFLYSRV0028: Stopped deployment web-1.war (runtime-name: web-1.war) in 97ms
2019-01-13 17:37:56,755 INFO  [org.wildfly.extension.undertow] (MSC service thread 1-7) WFLYUT0008: Undertow HTTP listener default suspending
2019-01-13 17:37:56,756 INFO  [org.wildfly.extension.undertow] (MSC service thread 1-8) WFLYUT0008: Undertow HTTPS listener https suspending
2019-01-13 17:37:56,765 INFO  [org.wildfly.extension.undertow] (MSC service thread 1-8) WFLYUT0007: Undertow HTTPS listener https stopped, was bound to 127.0.0.1:8443
2019-01-13 17:37:56,765 INFO  [org.wildfly.extension.undertow] (MSC service thread 1-7) WFLYUT0007: Undertow HTTP listener default stopped, was bound to 127.0.0.1:8080
2019-01-13 17:37:56,766 INFO  [org.wildfly.extension.undertow] (MSC service thread 1-3) WFLYUT0004: Undertow 2.0.15.Final stopping
2019-01-13 17:37:56,771 INFO  [org.jboss.as.clustering.infinispan] (ServerService Thread Pool -- 140) WFLYCLINF0003: Stopped client-mappings cache from ejb container
2019-01-13 17:37:56,783 INFO  [org.jboss.as] (MSC service thread 1-3) WFLYSRV0050: WildFly Full 15.0.1.Final (WildFly Core 7.0.0.Final) stopped in 131ms
